line_number,sents,has_clause,type,predicate
7,"Even his friends aren't sure whether he should come back, leading to a frank discussion of resurrection in the Marvel Universe.",1,polar,sure
9,Thus water placed in a vessel with a shaving of camphor thrown upon it will show whether the vessel is clean or not.,1,polar,show
12,This inquiry will help the reader understand whether a relationship between Mexican female politicians and policies created against violence exists.,1,polar,understand
16,"The Fifth Circuit earlier this month issued a highly unusual decision addressing whether state law could ""reverse preempt"" the New York Convention.",1,polar,addressing
18,"If a resource is more than 75% busy for sustained periods, take a closer look to see whether or not that level of utilization is acceptable in terms of response time or queue length.",1,polar,see
20,"We deny the right of such representation of the female members of the family, but granting this right, for argument's sake, it is very doubtful whether the one vote expresses the views and convictions of all the other members of the family.",1,polar,doubtful
22,If you have a treatment center in mind you should contact them to determine whether or not they accept your insurance.,1,polar,determine
28,"Whether or not it casts those who were directly responsible in a negative light is irrelevant and, frankly, quite insignificant to the larger meaning attributed to the stories.",1,polar,irrelevant
30,"Whether the factory dumps each day is random (so not all factories are active every day, in fact, if all factories were active every day, we couldn't tease apart their signals).",1,polar,random
32,The court of protection decides whether an attorney who is acting under an existing of the lasting power of attorney should be removed or not.,1,polar,decides
33,"Since both of these are part of the reasons why America is in trouble, the stability of a new America depends on whether or not they remain influential.",1,polar,depends on
41,"That, along with the location, helps determine whether the owners would be content living in the given area for the long term.",1,polar,determine
43,We are still unclear as to whether or not Canada is a state.,1,polar,unclear as to
44,The lead researcher has now begun further experiments to determine whether this drug can be used to formulate new treatments.,1,polar,determine
46,I don't know whether I agree on the parents being unsupportive.,1,polar,know
51,"Silly, since everybody have little bits about them that are different from most others, but it can be those very things that decide whether or not you're successful with a person.",1,polar,decide
59,"But, if the compounds that need to be separated remain colorless, it would be difficult to indicate whether you have obtained the desired compounds or not.",1,polar,indicate
69,"If you need help with your online debt payment processing, or you're curious whether we can provide you with a more affordable alternative, you can always reach us here.",1,polar,curious
74,"[39] As evidence of this, In Thomas de Quinceys Confessions of an English Opium-Eater (1821, p. 188), it is not Ottoman, nor Chinese, addicts about whom he writes, But English opium users: ""I question whether any Turk, of all that ever entered the paradise of opium-eaters, can have had half the pleasure I had.""",1,polar,question
78,Most studies using D-aspartic acid supplements did not report whether side effects occurred; long-term studies have not yet been performed using D-aspartic acid.,1,polar,report
79,Further study is needed to determine whether it should be cycled.,1,polar,determine
80,"This aims to help people understand whether they are saving enough for retirement and what they can do to make sure they are prepared for the future in terms of their job, money and health.",1,polar,understand
110,"And these requirements do not reflect the complex and often messy realities of innovation, let alone capture whether the innovation has negative consequences, such as putting CFCs in refrigerators.",1,polar,capture
111,"A great deal of expertise has been developed around innovation surveys that ask firms whether they innovate, and in what forms.",1,polar,ask
114,We must consider upon the evidence before us whether the Germans of the first century held land in private ownership.,1,polar,consider
118,"Once the affidavit and proposed order have been received by the court, a judge will consider all of the information your provided and determine whether you qualify for poor person status.",1,polar,determine
121,Sometimes the outcome in a student's life is not dependent on whether he/she studied at an Ivy League school.,1,polar,dependent on
124,Whether the judge will agree with Rocco depends on what Rocco's reasons are for wanting to live with his father in London.,1,polar,depends on
131,"Marquette went test optional in June, allowing applicants to decide whether to include standardized test scores in their applications.",1,polar,decide
137,"Our group of researchers and students considered whether there is a linear link between physical activity levels and mental health and whether sedentary habits, such as sitting all day, influenced this relationship.",1,polar,considered
143,"During a conference call earlier this week, I asked the UNDR's Communications Chief William Orme whether “global south was still a useful term.""",1,polar,asked
146,The Good Samaritan did not ask whether the man lying on the road had health insurance.,1,polar,ask
147,"But, unlike today, we did not immediately ask them whether we could withdraw food, water and antibiotics to get the death over with as soon as possible.",1,polar,ask
148,"But as yet, we still need to do more research before we can conclude with any certainty whether mixing by the marine biosphere is an important part of the ocean's circulation.",1,polar,conclude
151,"In the current research, Mouradian's team asked whether EHT and caffeine could work together for even greater brain protection.",1,polar,asked
165,"In essence, we just don't know whether the benefits of chest x-rays outweigh the harms (this is important and we'll come back to it later).",1,polar,know
190,The president will decide in the next few hours whether or not he got enough of what he wanted.,1,polar,decide
192,"The police searched this cabin in the caravan park and the owner gave them the address of the couple, but little more is known about this — and whether there is any information connecting Spedding to this cabin.",1,polar,known
193,"The police searched the dense bushland of Bonny Hills and Lake Cathie after other tip-offs, but again, it is unknown if there was anything found, and whether this was connected to Spedding.",1,polar,unknown
195,"This information regarding vehicles of interest was not made public knowledge until 12 months after the disappearance, and it is wondered whether an earlier public appeal could have helped the investigation significantly.",1,polar,wondered
196,"Although this is not the direction that investigators are moving forward with, it is crucial to establish whether this change of direction is justified.",1,polar,establish
203,Where #PeriodsOptional (women can decide whether or not to have periods and have access to the technology/medicine to do so) Where every child is planned (or at least not unwelcome) Where people are not judged by the clothes/shoes/makeup/hair they wear.,1,polar,decide
204,President Donald Trump is considering whether to pull out of the nuclear deal signed with Iran by his predecessor Barack Obama.,1,polar,considering
214,We can consider whether other specialists such as dermatologists may be needed in your treatment plan.,1,polar,consider
220,But nobody continued to question (as they once had) whether or not the internet was really necessary.,1,polar,question
224,Organic acids testing is a way to measure whether your body is getting and using the nutrients needed for key metabolic processes.,1,polar,measure
228,We didn't want to worry about whether or not we'd have a paycheck every week.,1,polar,worry about
229,"Such clustering, though, is not against any NCAA regulations, and it's not even clear whether, or how, the NCAA monitors clustering.",1,polar,clear
235,"Given the transparent, barely perceptible nature of contact lenses, the first thing you should do is determine whether or not the lens is really still in your eye.",1,polar,determine
242,They will observe the way employees handle their mistakes to determine whether they will excel in their work environment.,1,polar,determine
243,And whether he is able or not to shoot good pictures seems to be totally irrelevant.,1,polar,irrelevant
245,I still get confused as to whether I'm being selfish and in typing this comment I can actually feel myself looking for affirmation from you and other posters.,1,polar,confused as to
246,I still doubt at times whether I am making mountains out of mole hills.,1,polar,doubt
247,"Following a decision by the review panel, [plaintiff] will then decide whether or not to file a malpractice action.",1,polar,decide
248,Whether a plaintiff who is currently proceeding before medical review panel pursuant to the [statute] may later allege and prove a medical malpractice claim in a state or federal court case is not relevant to the determination of diversity jurisdiction at the time of removal.,1,polar,relevant
264,"LOS ANGELES (AP / FOX 11) - The bankruptcy of the Hanjin shipping line has thrown ports and retailers around the world into confusion, with giant container ships marooned and merchants worrying whether tons of goods will reach their shelves.",1,polar,worrying
270,"However, unless you're deficient in calcium, which can lead to hair loss, there isn't enough clinical evidence to say whether or not supplementation will provide any hair benefits.",1,polar,say
275,No Zones (significant blind spots) can make it difficult for a truck driver to tell whether a lane is clear before merging.,1,polar,tell
276,A Dallas spinal cord injury lawyer can help truck accident victims recognize whether or not someone else is liable for damages after a serious spinal cord injury.,1,polar,recognize
277,"If a truck driver caused a serious accident or wrongful death, an accident attorney can most likely discover whether he or she cheated on the logbooks.",1,polar,discover
280,"So if a trader has an interest in a particular offer, he must find out whether his broker offers that or not.",1,polar,find out
282,The parents of a teenager who was forced to leave a specialist school that supports children with severe autism in Bristol are investigating whether they can sue the education watchdog.,1,polar,investigating
285,"The problem was this: I had a hard time caring about whether or not Jon Snow was alive, when I knew that, for sure, Prince was dead.",1,polar,caring about
286,"Why watch Game of Thrones, I thought to myself, why spend a minute caring about the fate of a stompy pious crow, why spend a second wondering about whether or not Melisandre was going to nudely revive him with the vampish machinations this show sometimes uses as a stand in for sex, when you could be listening to Purple Rain?",1,polar,wondering about
302,"Because ART is so effective at reducing viral load, without the randomized control group of participants taking ART alone to compare against, we couldn't have been so confident in knowing whether the kick and kill drugs had made any impact.",1,polar,knowing
303,"I loved thinking about whether or not penguins even dream, and that thought sparked a long conversation.",1,polar,thinking
312,"The investigation is still ongoing, so it's not clear whether coverage under the Occupational Health and Safety Act could have prevented Adam's death, but it's telling, however, that the investigation is being led by the Niagara Regional Police Service because the Ministry of Labour does not have jurisdiction over occupational health and safety issues related to unpaid work.",1,polar,clear
321,So while the debate may be raging over whether we're doing the right consultation or a variety of other things–whether we're the smartest person in our riding or not–I think what the debate really should be about is the practical aspects of this bill.,1,polar,raging over
324,"The people in the business need to know whether or not they can survive, whether there's a business case for them to be able to survive.",1,polar,know
327,It is doubtful whether the strategy will be successful.,1,polar,doubtful
342,"In early May, another retired SFPD officer contacted The Chronicle, asking whether reporters had heard of Building 606.",1,polar,asking
346,"Next steps in the research involve analyzing whether species that have longer lifespans than humans--like the bowhead whale, which can live more than 200 years--have evolved even more robust SIRT6 genes.",1,polar,analyzing
349,The court is not being asked to make a ruling on the substance of the Kenyans' allegations but to decide whether a fair trial can be held so long after the events.,1,polar,decide
350,"Therefore, those who have not received the overtime pay they are entitled to may want to learn more about whether they are able to recover that compensation through a wage and hour claim.",1,polar,learn about
351,Now Italy's courts are fighting over whether a barbaric Sicilian capo should get the right to die with dignity.,1,polar,fighting over
352,"When you start to doubt yourself and your own mind, it may be time to look into whether you are in an abusive relationship with a “crazy maker.""",1,polar,look into
356,"They'll tell you all about this, and whether they have any charges, when you first contact them.",1,polar,tell about
358,"Then the group, the Molecular Tumor Board (MTB), decides whether to send cases out for genetic sequencing to help identify a new course of action.",1,polar,decides
362,"There's a very arbitrary 48-hour deadline imposed by Michael's boss, forcing Michael to decide whether he wants to try to make a go of it with Jane in Miami.",1,polar,decide
364,"Doctors and medical malpractice insurance companies currently must live with this 'bad outcome' ruling, although it is often unknown whether a better outcome was possible.",1,polar,unkown
368,"To help you know whether your cheerleading youngsters are protected from unreasonable risk, the AACA advises talking to the school's cheerleading coach about safety.",1,polar,know
388,"Juveniles too often are questioned by police and enter guilty pleas in court without a lawyer and have no one to investigate their case or understand whether a plea disposition is appropriate, said Kim Dvorchak, executive director of NJDC.",1,polar,understand
389,"Those of us in New Jersey can support the adoption of Senate Bill 677, sponsored by Sen. Ronald L. Rice, which would require our legislature to issue racial impact statements to assess whether proposed legislation will have a disproportionate racial impact.",1,polar,assess
392,"With the country's departure set for March 29, it remains unclear whether British lawmakers will approve the divorce deal the government negotiated with the EU.",1,polar,unclear
401,"The Washington State Transportation Commission will propose toll increases for the Tacoma Narrows Bridge Tuesday, and the amount will hinge on whether it wants a big reserve fund.",1,polar,hinge on
402,"The way the process works, the Transportation Commission views the citizen group's recommendation as the low point, discusses whether it's enough, but usually accepts it or inches it up.",1,polar,discusses
404,"If ICE shows up on a worksite on a “tip""– without a warrant – then it's up to the employer to decide whether to let ICE inspect the premises.",1,polar,decide
407,They did not realize whether this man was a devil or not.,1,polar,realize
413,"The economy may be improving slightly but, perhaps more importantly, the other guys are talking about restricting the accessibility of birth control or whether or not women should be in the workplace or the extent to which the devil has infiltrated American institutions among other crazy things.",1,polar,talking about
417,Measuring whether the segments' amount of existing space is sufficient and appropriate is difficult.,1,polar,Measuring
422,It doesnt care and couldnt care whether you have to get up early to go to work and that waking up at 3:00 a.m. to answer its demand for food is not very considerate of it.,1,polar,care
425,"""Because of (this) the brain scientists have begun to wonder whether our normal feeling of being one person is also an illusion, even though our brains remain whole.",1,polar,wonder
428,"But beware, the availability of money will depend on whether the day is work or not and if your bank is part of the entities with which Single credits works.",1,polar,depend on
433,Just some more head fakes on the birth issue and some whining from Crowley about not getting to see whether he took economics at Columbia.,1,polar,see
435,Psychologists based at University College London and Exeter University are testing whether a one-off dose of the drug could help hazardous drinkers who are trying to reduce their alcohol intake.,1,polar,testing
