line_number,sents,has_clause,type,predicate
11,The first case study analyzes whether female PRI Senator Diva Gastelum represents her constituents through descriptive or substantives representation.,1,alternative,analyzes
13,"The best example of this is her often touted masterpiece, The Rising of the Moon (1945), which is narrated by a 13-year-old boy and is better read as a coming-of-age story with strong mystery elements than as a pure detective story – because the ending leaves you scratching your head in utter amazement (it's up to the individual reader to decide whether that's a good thing or a bad thing).",1,alternative,decide
23,Whether a molecular configuration is designated E or Z is determined by the Cahn-Ingold-Prelog priority rules; higher atomic numbers are given higher priority.,1,alternative,determine
57,"Whether the ‘drop’ of the record reverberates on a micro-scale, or to Grand Canyon echo-type proportions, you can never know.",1,alternative,know
66,"Different weights are assigned to the words based on whether they appear in the title, subheadings or the body of the page and the number of times a particular word appears in the webpage is stored.",1,alternative,based on
91,"* FIFA members will decide on Wednesday (June 13) whether the 2026 World Cup should be played in North America or return to Africa for just the second time, in Morocco.",1,alternative,decide
99,"Ultimately, only I get to determine whether I am a victim, a villain, or a victor.",1,alternative,determine
105,"Last season he was basically a training cone, not knowing whether to engage his opponent or stand off.” Therefore, based on what I’ve read on the boards I’d go for Diego Rico.",1,alternative,knowing
123,"On February 3rd, Kaplan will decide whether Rocco must return to New York, and his mother, or whether he can stay in London with his father.",1,alternative,decide
125,"Whether a person is ‘male’ or ‘female’ is not defined by testosterone levels, and there are no non-arbitrary definitions of testosterone levels that would make a person one of the other.",1,alternative,defined
145,"Whether that’s an out and out striker or a winger, that’s for Gareth to decide.",1,alternative,decide
155,We must decide whether this exception applies only to insurance company boycotts of agents and other companies or also applies to refusals to deal with policyholders.,1,alternative,decide
184,(Whether the management (M) answered the question or the works council (WC) is illustrated in brackets.),1,alternative,illustrated
187,"Count Dracula (Gary Oldman, I mean – but these days he looks as old as his make up made him appear in Dracula…)is bit of a clichee, and the female lead at the end wants so much to look like Sarah Connor that it is almost confusing whether she will next have a baby with Arnold Schwarzenegger or go and kill the bad guys.",1,alternative,confusing
213,Firstly by seeing one of our trained Doctors we can determine whether this is Allergic Contact Dermatitis or another rash by the pattern of the rash and history.,1,alternative,determine
217,"My treatments are covered by worker's compensation, however, to get what I need takes months of fighting with them about whether the issue at hand has anything to do with a TBI or is even related to the assault at all.",1,alternative,fighting about
234,Whether a neo-con or a progressive acts in the theater of globalization is ultimately irrelevant.,1,alternative,irrelevant
237,"It doesn’t matter whether its work, family, or friends, good morals will get you a long way with people, and they will respect you for it!",1,alternative,matter
238,"We as humans will always make mistakes, however, it is up to us to decide whether to learn from the mistake or just disregard it.",1,alternative,decide
240,"My parents have worked all of their lives and they always told me whether it is just a part-time job, a volunteer job, or your career, if you agreed to work for someone, do just that.",1,alternative,told
251,"So as long as everyone would be exposed to STEM and be able to choose it as a career to pursue without pressure to not do so, it doens't matter to me whether it's 50/50, 60/40 or 70/30.",1,alternative,matter
253,You know whether it’s in the Bay Area or in the Northeast or in all the places up the Pacific Northwest.,1,alternative,know
273,We also examine whether the effect size of the sunk cost effect on project escalation is different for IT vs. non-IT project contexts.,1,alternative,examine
278,"A meeting with the zoning department will study the existing traffic patterns and parking and let the owner know whether existing conditions are sufficient or if additional parking, turn lanes, or even a traffic light will be necessary to keep the clientele happy and allow them to come and go in a safe manner.",1,alternative,know
289,"It remains ambiguous whether Helen’s rejection of her sexual habits is feigned, or whether it represents a brief moment of sincerity, the realization that having many short-lived affairs with men does not necessarily bring her (or her daughter) happiness and stability.",1,alternative,ambiguous
290,"He wonders whether reality is a dream or dreams reality.” This isn’t ordinary narration, which conveys information the film for one reason or other can’t dramatize.",1,alternative,wonders
299,If you can't decide whether you prefer dramatic coastline or heather moorland then the 109 mile long Cleveland Way is your perfect trail.,1,alternative,decide
311,"At the post-secondary level, students fall into four categories, depending on whether their work placement is paid or unpaid, and whether their work placement is optional or a mandatory requirement for graduation.",1,alternative,depending on
325,No mainstream political party and no prominent politician is fighting publicly to reveal whether the accumulated evidence indicates failures of policy or represents an unconnected sequence of criminal actions by a tiny minority of rogue soldiers.,1,alternative,reveal
328,"University of Toronto, Department of Sociology (Toronto, Canada): The Faculty of Arts and Science has instituted a funding guarantee that covers PhD students for four or five years (depending on whether the student enters directly from a BA, or completes an MA before entering the program).",1,alternative,depending on
355,"Ultimately, whether to bootstrap or finance depends on all of the factors identified in this article, if not more.",1,alternative,depends on
357,The type of mortgage you are able to apply for will depend on whether you want to repay interest only or interest and capital.,1,alternative,depend on
367,"Currently, however, high school athletic associations in each state in the U.S. decide whether cheerleading is considered a sport or treated as a club activity like a drama or chess club that involves no athletic activities.",1,alternative,decide
395,It seems to be random whether these questions are relatively easy or impossibly difficult.,1,alternative,random
400,"You have to wonder whether the propaganda agenda is purely journalistic, or partly stems from NASA itself, since they felt it worthwhile issuing a sanely scientific rebuttal of … a couple of YouTube rumours based on “vague sources”.",1,alternative,wonder
418,"It is unclear to us whether the word ""new"" in this measure applies only to MOUs or whether it also applies to other pension contracts or agreements, such as those delineated in statute or those applicable to managers and supervisors.",1,alternative,unclear
470,"The Trustees did not discuss whether the University should conduct an internal investigation to understand the facts and any potential liability issues, engage experience criminal counsel, or prepare for the possibility that the Grand Jury investigation might result in some criticism of the University or its staff.",1,alternative,discuss
