line_number,sents,has_clause,type,predicate
4,"Luminosity Gaming may be about to recruit a new CS:GO player, as VPEsports reports that Ricardo 'boltz' Prass is set to rejoin the side to replace Gustavo 'yeL' Knittel.",1,declarative,reports
26,I have always loved fashion and believe that it plays an integral role in self expression,1,declarative,believe
35,"Being a Conroe and Woodlands Family Photographer, I find that emotions are the most noticeable thing in my photographs (especially since I shoot with a candid approach to my sessions)",1,declarative,find
43,I can honestly say that that is precisely what happened on this day,1,declarative,say
46,I have decided that I want her to be my pen pal and take it back old school,1,declarative,decided
55,"They were up for something different and an adventure, so I felt it was a great opportunity to shoot in! Becca also wore dresses from my The Woodlands Photographer studio and it was perfect.",1,declarative,felt
57,I am also praying that everyone who flooded is doing ok and things are getting back to normal! Up next on the blog is this sweet The Woodlands Newborn Studio session.,1,declarative,praying
60,"I also should mention that Eurri Farris, of Eurri Kim Photography was an amazing help that day, assisting in this session.",1,declarative,mention
81,This is not to say that any one of these reasons were the cause or causes of any of the head-on collisions in Missouri in the last three months,1,declarative,say
96,"When we laid our foundation stone in Denver, CO 80211 almost 10 years ago, we realized that the people of the city have been desperately missing the services of a professional locksmith company",1,declarative,realized
123,"For anyone following Tiny Tim’s adventures, we know that he lives with his mum and has never met his real dad",1,declarative,know
127,"@avoto hm, I don't think that it's a good idea",1,declarative, think
131,@PaulMaly_twitter I was thinking that there can be more than one version where one is is the Ractive component file as per the official spec,1,declarative,thinking
134,I think the components should be written so that they could work without any compilation at least in one environment,1,declarative,think
213,"All right, I was really bad at photographing this weekend, but just trust me when I say that it was filled with good things: fireplaces, hot apple cider, laughs, the picture game, a skype date with my brother, exploring, and, and, and",1,declarative,say
228,"Here I argue that despite the good intentions of euthanasia advocates, their understanding of mercy is flawed",1,declarative,argue
230,Euthanasia advocates believe that intentionally taking the life of someone who is terminally ill or suffering severe pain constitutes an act of mercy,1,declarative,believe
237,"Yet, if we deny that Jones’ life has any real meaning because his pain outweighs his enjoyment of life then his worth is reduced to the sum total of the pain or the pleasure he is experiencing",1,declarative,deny
239,Ethics academic Gilbert Meilaender holds that such thinking forces us to speak of ourselves in terms of “what we have” instead of “who we are” (http://www.firstthings.com/article.php3?id_article=6047),1,declarative,holds
253,It is to admit that doctors are in some way divorced from their patients and unaffected by the treatment they provide to them.,1,declarative,admit
260,"However, defining mercy solely as relationship might indicate that euthanasia is not incompatible with mercy",1,declarative,indicate
263,"However, to accept this definition of relationship is to admit that a doctor who provides Jones with a lethal injection acts in a way that is morally equivalent to a doctor who nurses Jones to his death",1,declarative,admit
271,"In A Common Humanity: Thinking about Love and Truth and Justice (2000) Gaita writes: “Often, we learn that something is precious only when we see it in the light of someone’s love”",1,declarative,learn
272,"Therefore, by loving Jones or by seeing that Jones is loved, we realise Jones to be a person with inherent dignity",1,declarative,seeing
313,"A new report is saying that new car sales took a nosedive in September, signaling economic distress could be just around the corner",1,declarative,saying
370,News BREAKING: HHA owner Jon Kelly has revealed he was sacked on Monday as administrators Ferrier Hodgson announced the business was in voluntary administration.,1,declarative,revealed
